Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase,Phase_inshort
Ce70Al10Ni10Cu10,4 ,Ce Al Ni Cu,70 10 10 10,1.6731,0.1412,1151.624,216.29,-25.1200,5.2703,0.9404,1.3260,0.3238,4.5000,3.0083,"55,000,000,000",55.6004,AM,AM
SrCaYbMgZnCu,6 ,Sr Ca Yb Mg Zn Cu,1 1 1 1 1 1,1.6837,0.1814,1038.408333,201.54,-13.1111,6.1470,1.7918,1.3183,0.3495,5.3333,4.3843,"52,482,323,232",43.5701,AM,AM
La66Al14Cu20,3 ,La Al Cu,66 14 20,1.69622,0.152377934,1189.6198,121.8532714,-25.2448,5.819805672,0.871383575,1.3314,0.332968527,4.6,3.2,57120000000,44.53521753,AM,AM
Sr36Al24Co20Y20,4 ,Sr Al Co Y,36 24 20 20,1.729,0.210408066,1315.4328,384.8499013,-12.9088,11.82112013,1.354077539,1.3484,0.365214238,3.84,2.618090908,66721818182,61.65684605,AM,AM
GdTbDyTmLu,5 ,Gd Tb Dy Tm Lu,1 1 1 1 1,1.7302,0.050718319,1730.8,128.948672,0,0,1.609437912,1.208,0.059126982,3,4.44E-16,42140000000,3.815547143,HCP,SS
Ca6.23Mg3.78Sn7,3 ,Ca Mg Sn,6.23 3.78 7,1.7462,0.1001,821.3374486,273.94,-32.3756,11.4285,1.0675,1.4640,0.4305,2.8230,0.9842,"40,094,650,206",18.2381,IM,IM
SrCaYbMgZn0.5Cu0.5,6 ,Sr Ca Yb Mg Zn Cu,1 1 1 1 0.5 0.5,1.7531,0.1637,1041.045,163.04,-10.6000,5.4035,1.7481,1.2270,0.3057,4.1000,3.7269,"41,978,787,879",37.0280,AM,AM
SrCaYbLi0.55Mg0.45Zn,6 ,Sr Ca Yb Li Mg Zn,1 1 1 0.55 0.45 1,1.7558,0.1571,922.9119,226.16,-12.1520,6.6640,1.7471,1.1657,0.2612,4.0900,3.9927,"31,238,787,879",21.8630,AM,AM
Sr40Al20Co20Y20,4 ,Sr Al Co Y,40 20 20 20,1.7578,0.209138042,1320.094,380.8806629,-9.76,11.63030249,1.33217904,1.322,0.369182882,3.8,2.638181192,64157575758,62.54431861,AM,AM
SrCaYbMgZn,5 ,Sr Ca Yb Mg Zn,1 1 1 1 1,1.7648,0.1525,974.536,155.77,-13.1200,6.4550,1.6094,1.2020,0.2558,4.2000,3.9192,"34,978,787,879",20.9709,AM,AM
YGdTbDyLu,5 ,Y Gd Tb Dy Lu,1 1 1 1 1,1.7786,0.013719577,1727,126.5811992,0,0,1.609437912,1.202,0.056,3,4.44E-16,41340000000,3.541525095,HCP,SS
HoDyYGdTb,5 ,Ho Dy Y Gd Tb,1 1 1 1 1,1.7848,0.008091442,1689.2,77.05686212,0,0,1.609437912,1.194,0.048,3,4.44E-16,39740000000,1.212600511,HCP,SS
Sr46Al14Co20Y21,4 ,Sr Al Co Y,46 14 20 20,1.801,0.204941992,1327.0858,374.7393136,-4.6048,11.10199212,1.276234208,1.2824,0.37155651,3.74,2.666908322,60311212121,63.65902888,AM,AM
Ca65Mg15Zn20,3 ,Ca Mg Zn,65 15 20,1.80355,0.134526416,1001.736,168.439018,-14.26,4.195021692,0.886464476,1.1765,0.260312793,4,4,31800000000,21.45600149,AM,AM
GdHoLaTbY,5 ,Gd Ho La Tb Y,1 1 1 1 1,1.8058,0.021582588,1590.8,213.2945381,0,0,1.609437912,1.17,0.057965507,3,4.44E-16,37140000000,4.685979087,HCP,SS
Al3Ca8,2 ,Al Ca,3 8,1.8276,0.1326,1065.491818,80.85,-15.8678,1.8403,0.5860,1.1664,0.2717,2.2727,0.4454,"33,090,909,091",26.2763,IM,IM
